"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
2643,"ESCF","medium_airport","Malmen Air Base",58.402302,15.5257,308,"EU","SE","SE-E","Linköping","no","ESCF",,,,"https://en.wikipedia.org/wiki/Malmen_Airbase",
2644,"ESCK","closed","Bråvalla Air Base",58.610901,16.1036,,"EU","SE","SE-E",,"no",,,,,,
2645,"ESCM","small_airport","Ärna Air Base",59.897301,17.5886,68,"EU","SE","SE-C","Uppsala","no","ESCM",,,,"https://en.wikipedia.org/wiki/%C3%84rna",
30439,"ESCN","closed","Stockholm Tullinge Airport",59.17940139770508,17.907800674438477,180,"EU","SE","SE-AB","Stockholm","no",,,,,,"ESCN, ESCN"
31020,"ESCY","closed","Nyge Airport",58.7456016541,17.0489006042,7,"EU","SE","SE-D","Nyköping","no",,,,,,"ESCY, ESCY"
2646,"ESDF","medium_airport","Ronneby Airport",56.266701,15.265,191,"EU","SE","SE-K","Ronneby","yes","ESDF","RNB",,"https://www.swedavia.com/ronneby/","https://en.wikipedia.org/wiki/Ronneby_Airport",
300955,"ESEM","heliport","Lund Hospital Heliport",55.711812312300005,13.1986892223,352,"EU","SE","SE-M","Lund","no","ESEM",,,,,
29311,"ESFA","small_airport","Hässleholm Bokeberg Airfield",56.134407,13.875647,105,"EU","SE","SE-M","Hässleholm","no","ESFA",,,"http://www.hlmfk.se","https://sv.wikipedia.org/wiki/H%C3%A4ssleholms_flygplats",
29312,"ESFH","closed","Hasslosa Air Base",58.409698486328,13.26309967041,,"EU","SE","SE-Q","Hasslosa","no",,,,,,"ESFH, ESFH"
29313,"ESFI","closed","Knislinge Air Base",56.18719863889999,14.136300087,,"EU","SE","SE-M","Knislinge","no",,,,,,"ESFI, ESFI"
29314,"ESFJ","closed","Sjöbo Air Base",55.64899826049805,13.626099586486816,,"EU","SE","SE-M","Sjöbo","no",,,,,,"ESFJ, ESFJ"
29315,"ESFM","closed","Moholm Air Base",58.5975,14.1109,,"EU","SE","SE-Q","Moholm","no",,,,,"http://sv.wikipedia.org/Moholm-Bällefors_flygbas","ESFM, ESFM"
29316,"ESFQ","closed","Kosta Air Base",56.844501,15.4528,,"EU","SE","SE-G",,"no",,,,,,
2647,"ESFR","medium_airport","Råda Air Base",58.4981,13.0532,230,"EU","SE","SE-Q","Råda","no","ESFR",,,,"https://sv.wikipedia.org/wiki/R%C3%A5da_flygbas",
29317,"ESFS","small_airport","Sandvik Airfield",57.0681,16.8613,30,"EU","SE","SE-H","Sandvik","no","ESFS",,,,,"Öland"
29318,"ESFU","closed","Urasa Air Base",56.6814002991,14.946700096099999,,"EU","SE","SE-G","Växjö","no",,,,,"http://sv.wikipedia.org/wiki/Ur%C3%A5sa_flygbas","ESFU, ESFU"
29319,"ESFY","closed","Byholma Air Base",56.7834014893,13.6014003754,,"EU","SE","SE-G","Byholma","no",,,,,"http://sv.wikipedia.org/wiki/Byholma_flygbas","ESFY, ESFY"
29320,"ESGA","small_airport","Backamo Airfield",58.1772,11.9735,415,"EU","SE","SE-Q","Uddevalla","no","ESGA",,,,"https://sv.wikipedia.org/wiki/Backamo_flygf%C3%A4lt",
29321,"ESGC","small_airport","Ålleberg Airfield",58.134499,13.6026,,"EU","SE","SE-Q","Ålleberg","no","ESGC",,,,,
29322,"ESGD","small_airport","Bämmelshed Airfield",58.191799,13.9957,,"EU","SE","SE-Q","Tidaholm","no","ESGD",,,,,
29323,"ESGE","small_airport","Borås Airfield",57.695935,12.845002,588,"EU","SE","SE-Q","Borås","no","ESGE",,,"http://www.borasflygplats.se","https://sv.wikipedia.org/wiki/Bor%C3%A5s_flygplats","Viared"
29324,"ESGF","small_airport","Morup Airfield",56.968598,12.387439,,"EU","SE","SE-N","Falkenberg","no","ESGF",,,,,
2648,"ESGG","large_airport","Göteborg Landvetter Airport",57.6628,12.2798,506,"EU","SE","SE-Q","Göteborg","yes","ESGG","GOT",,"https://www.swedavia.com/landvetter/","https://en.wikipedia.org/wiki/G%C3%B6teborg_Landvetter_Airport","Göteborg-Landvetter, Gothenburg"
29325,"ESGH","small_airport","Herrljunga Airfield",58.029301,13.1082,,"EU","SE","SE-Q","Herrljunga","no","ESGH",,,,,
29326,"ESGI","small_airport","Alingsås Airfield",57.948888,12.575827,,"EU","SE","SE-Q","Alingsås","no","ESGI",,,,,
2649,"ESGJ","medium_airport","Jönköping Airport",57.757598876953125,14.068699836730957,741,"EU","SE","SE-F","Jönköping","yes","ESGJ","JKG",,"http://www.lfv.se/templates/LFV_AirportStartPage____1672.aspx","https://en.wikipedia.org/wiki/J%C3%B6nk%C3%B6ping_Airport",
2650,"ESGK","small_airport","Falköping Airfield",58.1698,13.5878,785,"EU","SE","SE-Q","Falköping","no","ESGK",,,,"https://en.wikipedia.org/wiki/Falk%C3%B6ping_Airport",
2651,"ESGL","small_airport","Lidköping-Hovby Airport",58.4655,13.1744,200,"EU","SE","SE-Q","Lidköping","no","ESGL","LDK",,"http://www.lidkopingairport.com/","https://en.wikipedia.org/wiki/Lidk%C3%B6ping-Hovby_Airport",
29327,"ESGM","small_airport","Öresten Airfield",57.445301,12.649,,"EU","SE","SE-Q","Öresten","no","ESGM",,,,"https://sv.wikipedia.org/wiki/%C3%96resten_flygf%C3%A4lt","Oreste Airport"
29904,"ESGN","small_airport","Brännebrona Airfield",58.578602,13.6106,259,"EU","SE","SE-Q","Götene","no","ESGN",,,,,
30522,"ESGO","small_airport","Vårgårda Airfield",58.039398,12.7889,318,"EU","SE","SE-Q","Vårgårda","no","ESGO",,,,"https://sv.wikipedia.org/wiki/V%C3%A5rg%C3%A5rda_flygplats",
2652,"ESGP","medium_airport","Säve Airport",57.7747,11.8704,59,"EU","SE","SE-Q","Göteborg","no","ESGP","GSE",,"https://www.saveflygplats.com/","https://en.wikipedia.org/wiki/S%C3%A4ve_Airport","Göteborg City Airport, Gothenburg City Airport"
2653,"ESGR","medium_airport","Skövde Airport",58.456402,13.9727,324,"EU","SE","SE-Q","Skövde","no","ESGR","KVB",,,"https://en.wikipedia.org/wiki/Sk%C3%B6vde_Airport",
29328,"ESGS","small_airport","Näsinge Airfield",59.0168,11.3437,115,"EU","SE","SE-Q","Strömstad","no","ESGS",,,,,
2654,"ESGT","medium_airport","Trollhättan-Vänersborg Airport",58.31809997558594,12.345000267028809,137,"EU","SE","SE-Q","Trollhättan","yes","ESGT","THN",,,"https://en.wikipedia.org/wiki/Trollh%C3%A4ttan-V%C3%A4nersborg_Airport",
29329,"ESGU","small_airport","Rörkärr Airfield",58.367599,11.7754,,"EU","SE","SE-Q","Uddevalla","no","ESGU",,,,"https://sv.wikipedia.org/wiki/R%C3%B6rk%C3%A4rr_flygf%C3%A4lt",
29330,"ESGV","small_airport","Varberg Getterön airfield",57.124599,12.2283,5,"EU","SE","SE-N","Varberg","no","ESGV",,,,"https://sv.wikipedia.org/wiki/Varbergs_flygplats",
29331,"ESGY","small_airport","Säffle Airfield",59.085512,12.949705,,"EU","SE","SE-S","Säffle","no","ESGY",,,,"https://sv.wikipedia.org/wiki/S%C3%A4ffle_flygplats",
355418,"ESHB","heliport","Sahlgrenska University East Hospital Helipad",57.72097,12.04779,134,"EU","SE","SE-Q","Göteborg","no","ESHB",,,,,"Gothenburg, SU Östra"
2655,"ESIA","small_airport","Karlsborg Air Base",58.513802,14.5071,308,"EU","SE","SE-Q","Karlsborg","no","ESIA",,,,"https://sv.wikipedia.org/wiki/Karlsborgs_flygplats",
2656,"ESIB","medium_airport","Såtenäs Air Base",58.426399,12.7144,181,"EU","SE","SE-Q","Såtenäs","no","ESIB",,,,"https://sv.wikipedia.org/wiki/Lidk%C3%B6ping-S%C3%A5ten%C3%A4s_flygplats",
29332,"ESKA","small_airport","Lunda Airfield",60.132801,18.1049,75,"EU","SE","SE-C","Gimo","no","ESKA",,,,"https://en.wikipedia.org/wiki/Gimo_Air_Base","Gimo AB"
2657,"ESKB","closed","Barkarby Airport",59.414474,17.882137,,"EU","SE","SE-AB",,"no",,,,,"https://en.wikipedia.org/wiki/Barkarby_Airport",
29333,"ESKC","small_airport","Uppsala-Sundbro Airfield",59.922699,17.5368,,"EU","SE","SE-C",,"no","ESKC",,,,,
29334,"ESKD","small_airport","Dala Järna Airfield",60.556099,14.3771,770,"EU","SE","SE-W","Dala Järna","no","ESKD",,,,,
29335,"ESKG","small_airport","Gryttjom Airfield",60.286999,17.4217,,"EU","SE","SE-C","Gryttjom","no","ESKG",,,,,
29336,"ESKH","small_airport","Ekshärad Airfield",60.1548,13.5286,,"EU","SE","SE-S","Ekshärad","no","ESKH",,,,,
2658,"ESKK","medium_airport","Karlskoga Airport",59.345901,14.4959,407,"EU","SE","SE-T",,"no","ESKK","KSK",,"https://karlskoga-airport.se/","https://en.wikipedia.org/wiki/Karlskoga_Airport",
2659,"ESKM","medium_airport","Mora Airport",60.957901,14.5114,634,"EU","SE","SE-W","Mora","yes","ESKM","MXX",,,"https://en.wikipedia.org/wiki/Mora-Siljan_Airport",
2660,"ESKN","medium_airport","Stockholm Skavsta Airport",58.788601,16.912201,140,"EU","SE","SE-D","Nyköping","yes","ESKN","NYO",,,"https://en.wikipedia.org/wiki/Stockholm-Skavsta_Airport",
29337,"ESKO","small_airport","Munkfors Airfield",59.798801,13.4907,,"EU","SE","SE-S","Munkfors","no","ESKO",,,,,
316498,"ESKS","medium_airport","Scandinavian Mountains Airport",61.158393,12.842503,1608,"EU","SE","SE-W","Malung-Sälen","yes","ESKS","SCR",,"https://scandinavianmountains.se/en/home/","https://en.wikipedia.org/wiki/Scandinavian_Mountains_Airport","Sälens Flygplats, Trysil"
